subject,text,item,present,response,correct
x7817x,Rugby,wide,0,1,0
x7817x,Rugby,indebted,1,1,1
x7817x,Rugby,changed,1,1,1
x7817x,Rugby,kicked,1,1,1
x7817x,Rugby,abundance,1,0,0
x7817x,Rugby,club,0,0,1
x7817x,Rugby,metres,1,1,1
x7817x,Rugby,disarray,1,1,1
x7817x,Rugby,scoring,0,1,0
x7817x,Rugby,cover,0,1,0
x7817x,Rugby,defeat,0,1,0
x7817x,Rugby,detached,0,0,1
x7817x,Rugby,penalty,1,1,1
x7817x,Rugby,yards,0,1,0
x7817x,Rugby,handled,1,1,1
x7817x,Rugby,penalties,1,1,1
x7817x,Rugby,score,1,1,1
x7817x,Rugby,ensuing,0,1,0
x7817x,Rugby,win,1,1,1
x7817x,Rugby,landing,1,1,1
x7817x,Rugby,punt,0,1,0
x7817x,Rugby,parity,0,0,1
x7817x,Rugby,offside,0,1,0
x7817x,Rugby,drove,0,0,1
x1138x,Rugby,landing,1,1,1
x1138x,Rugby,disarray,1,1,1
x1138x,Rugby,cover,0,0,1
x1138x,Rugby,indebted,1,0,0
x1138x,Rugby,yards,0,1,0
x1138x,Rugby,defeat,0,0,1
x1138x,Rugby,changed,1,0,0
x1138x,Rugby,punt,0,0,1
x1138x,Rugby,scoring,0,1,0
x1138x,Rugby,score,1,1,1
x1138x,Rugby,ensuing,0,0,1
x1138x,Rugby,kicked,1,1,1
x1138x,Rugby,handled,1,1,1
x1138x,Rugby,offside,0,0,1
x1138x,Rugby,drove,0,0,1
x1138x,Rugby,penalties,1,1,1
x1138x,Rugby,win,1,0,0
x1138x,Rugby,detached,0,0,1
x1138x,Rugby,penalty,1,1,1
x1138x,Rugby,wide,0,0,1
x1138x,Rugby,metres,1,0,0
x1138x,Rugby,parity,0,0,1
x1138x,Rugby,club,0,0,1
x1138x,Rugby,abundance,1,1,1
x1138x,Marriage,formed,1,1,1
x1138x,Marriage,hearts,0,0,1
x1138x,Marriage,couple,1,1,1
x1138x,Marriage,covenant,1,1,1
x1138x,Marriage,married,1,1,1
x1138x,Marriage,court,0,0,1
x1138x,Marriage,differences,0,1,0
x1138x,Marriage,superseded,0,0,1
x1138x,Marriage,formally,1,1,1
x1138x,Marriage,conquest,0,0,1
x1138x,Marriage,individual,0,1,0
x1138x,Marriage,partnership,0,1,0
x1138x,Marriage,fortune,1,1,1
x1138x,Marriage,registry,1,1,1
x1138x,Marriage,witnessed,0,0,1
x1138x,Marriage,unconscious,1,0,0
x1138x,Marriage,provision,0,0,1
